Round: 0, Step 0
MAPE: 0.7834: 2,226,39,7,35,0.5683,0.0643,0.5997,9
MAPE: 1.2520: 27,443,18,2,21,0.1261,0.0307,0.7725,9
MAPE: 0.0870: 41,87,3,4,46,0.7101,0.0311,0.5424,5
MAPE: 0.0636: 10,114,34,5,8,0.7063,0.0772,0.4476,2
MAPE: 1.1137: 28,487,23,9,38,0.434,0.0944,0.6064,4
MAPE: 0.0528: 10,235,13,5,33,0.284,0.0412,0.3541,4
MAPE: 0.6401: 42,287,12,8,26,0.7789,0.0545,0.3108,9
MAPE: 0.0504: 9,83,24,2,7,0.3387,0.0579,0.6783,2
MAPE: 0.8227: 38,292,26,4,16,0.8905,0.0994,0.8946,3
MAPE: 31.4634: 40,395,41,4,11,0.0726,0.093,0.5625,5
MAPE: 114.2858: 19,455,27,7,47,0.5939,0.0942,0.8568,2
MAPE: 0.7771: 13,346,7,7,5,0.0657,0.048,0.7916,5
MAPE: 0.0904: 21,364,5,7,49,0.6909,0.0907,0.0031,8
MAPE: 0.5149: 14,394,33,5,18,0.6045,0.0114,0.4661,9
MAPE: 0.9792: 39,341,31,8,9,0.889,0.0668,0.821,9
MAPE: 0.9963: 9,151,23,6,32,0.8965,0.0879,0.9564,5
MAPE: 104.7967: 49,500,36,6,27,0.4733,0.0366,0.2223,10
MAPE: 0.9192: 30,276,34,2,36,0.1117,0.0971,0.4636,4
MAPE: 0.8662: 47,492,35,8,10,0.8566,0.0845,0.2956,7
MAPE: 6.5161: 3,410,32,2,41,0.2917,0.0896,0.2306,4
MAPE: 0.0565: 28,89,21,8,21,0.5735,0.0242,0.8915,2
MAPE: 0.6612: 28,495,7,7,33,0.9958,0.0409,0.6258,9
MAPE: 0.3503: 32,449,5,1,18,0.8938,0.0522,0.2362,4
MAPE: 0.5219: 9,245,3,9,3,0.8743,0.0183,0.8235,5
MAPE: 32.2646: 37,240,7,10,32,0.3759,0.0637,0.2096,5
MAPE: 0.0714: 30,319,6,3,11,0.4729,0.0552,0.5767,8
MAPE: 0.0635: 14,109,15,1,19,0.6355,0.0493,0.2348,7
MAPE: 77.2682: 38,359,48,6,36,0.5368,0.0311,0.0067,5
Step: 0, min MAPE: 0.045385964, hyperparameter: [16.50199826901448, 94.32450411076873, 38.18999981986477, 5.296927484718693, 40.9676503100212, 0.3187987968624336, 0.020049510879519436, 0.39779868866168333, 7.414533421199586]
Round: 0, Step 1
MAPE: 0.0560: 10,230,14,1,22,0.4854,0.0112,0.2184,7
MAPE: 0.0556: 17,94,17,5,30,0.3188,0.02,0.8428,7
MAPE: 0.0597: 4,44,25,9,26,0.3113,0.0655,0.1924,10
MAPE: 0.0891: 49,184,13,2,4,0.5326,0.0539,0.3194,2
MAPE: 0.0643: 7,47,17,2,27,0.7012,0.0608,0.5187,5
MAPE: 0.6679: 3,339,10,8,43,0.796,0.0387,0.5683,7
MAPE: 0.3459: 29,174,46,9,2,0.4382,0.0182,0.301,2
MAPE: 0.0546: 18,166,49,7,14,0.4291,0.0402,0.0461,4
MAPE: 6.5764: 46,402,9,6,46,0.7239,0.0545,0.4975,3
