Round: 0, Step 0
MAPE: 0.3490: 20,62,41,8,48,0.8645,0.0446,0.9563,8
MAPE: 1.2447: 37,268,33,3,45,0.9659,0.0385,0.8656,1
MAPE: 0.0796: 2,265,10,3,14,0.9136,0.0512,0.1302,8
MAPE: 0.1832: 21,28,43,3,36,0.3558,0.0815,0.8446,8
MAPE: 0.3034: 28,77,20,5,26,0.8918,0.037,0.3964,2
MAPE: 0.9379: 21,108,42,3,4,0.9889,0.0306,0.6147,2
MAPE: 14.5748: 40,327,24,4,38,0.6011,0.0945,0.3328,3
MAPE: 1.6417: 47,244,43,7,5,0.7894,0.0957,0.8586,8
MAPE: 2.0310: 48,313,35,2,7,0.372,0.079,0.3211,10
MAPE: 0.6218: 20,286,18,6,29,0.4182,0.0457,0.759,2
MAPE: 0.1330: 21,17,5,8,16,0.5841,0.0891,0.6385,6
MAPE: 0.0691: 33,44,20,4,10,0.2539,0.0563,0.7573,3
MAPE: 1.1721: 5,255,41,7,11,0.7704,0.0303,0.0417,2
MAPE: 2.0991: 45,289,45,10,2,0.8009,0.0566,0.1433,6
MAPE: 0.0692: 4,206,26,10,8,0.4495,0.0641,0.2058,4
MAPE: 1.4770: 36,289,22,6,10,0.6155,0.0565,0.5168,7
MAPE: 2.1392: 23,467,21,6,18,0.2842,0.0697,0.8903,3
MAPE: 1.1456: 42,327,45,1,12,0.1321,0.023,0.9102,6
MAPE: 0.0703: 5,74,34,8,5,0.3575,0.0796,0.1315,6
MAPE: 0.8403: 38,311,29,1,28,0.4407,0.0724,0.7182,8
MAPE: 1.7874: 3,353,30,2,31,0.8379,0.0671,0.8257,2
MAPE: 0.3746: 3,293,9,3,13,0.6242,0.0237,0.0339,10
MAPE: 3.0394: 19,425,21,3,13,0.1076,0.0704,0.7063,7
MAPE: 0.1718: 27,45,28,7,40,0.8923,0.0378,0.5203,8
MAPE: 0.0672: 26,258,22,3,46,0.2777,0.0153,0.9289,3
MAPE: 2.3828: 23,418,18,3,15,0.6518,0.0674,0.5036,10
MAPE: 22.1341: 41,477,11,10,36,0.0087,0.0359,0.8414,5
MAPE: 0.0568: 9,73,48,7,26,0.2485,0.0308,0.3683,6
Step: 0, min MAPE: 0.056833215, hyperparameter: [9.479436450353578, 72.80544766422672, 47.57445842171844, 6.840146363010524, 25.585553909202808, 0.24845579288673617, 0.030835788350533085, 0.3683419053302235, 5.855846890170268]
Round: 0, Step 1
MAPE: 0.0604: 39,26,25,8,45,0.2248,0.0217,0.7605,3
MAPE: 22.8043: 37,280,30,5,44,0.4136,0.0651,0.3013,4
MAPE: 0.3006: 7,249,33,7,28,0.0199,0.0279,0.8569,6
MAPE: 0.4133: 38,163,44,6,9,0.6374,0.0184,0.8211,2
MAPE: 0.9430: 23,65,49,4,41,0.1296,0.0407,0.9028,6
MAPE: 0.2527: 30,121,14,2,2,0.3307,0.0421,0.04,5
MAPE: 1.9271: 50,332,37,3,44,0.7632,0.089,0.4175,6
MAPE: 1.7784: 26,313,23,4,17,0.3031,0.0774,0.5576,9
MAPE: 1.9706: 24,161,4,10,18,0.312,0.0979,0.4408,4
MAPE: 2.0235: 32,295,16,6,34,0.7466,0.0825,0.3378,2
MAPE: 0.0650: 8,107,33,3,11,0.5424,0.021,0.7113,6
MAPE: 0.0634: 41,61,46,6,30,0.1981,0.0504,0.6425,1
MAPE: 6.2978: 36,241,37,6,9,0.1681,0.0434,0.5402,8
MAPE: 0.5694: 25,315,10,7,43,0.7427,0.0411,0.4169,2
MAPE: 0.0880: 18,63,17,6,11,0.5738,0.0368,0.9346,2
MAPE: 0.1013: 1,62,41,8,48,0.5793,0.0362,0.9563,8
MAPE: 0.0875: 2,213,10,3,34,0.9136,0.0512,0.1302,8
MAPE: 0.0608: 13,95,43,3,36,0.3558,0.0104,0.2036,6
MAPE: 0.3985: 28,254,20,5,26,0.4453,0.037,0.4244,2
MAPE: 2.4286: 19,286,44,6,29,0.4182,0.0457,0.759,3
MAPE: 0.7736: 15,307,5,8,16,0.5841,0.0891,0.6385,5
